PaleTurquoise,#AFEEEE,#afeeee,paleturquoise,Pale Turquoise,,Shades,Mix
PaleVioletRed,#DB7093,#db7093,palevioletred,Pale Violet Red,,Shades,Mix
PapayaWhip,#FFEFD5,#ffefd5,papayawhip,Papaya Whip,,Shades,Mix
PeachPuff,#FFDAB9,#ffdab9,peachpuff,Peach Puff,,Shades,Mix
Peru,#CD853F,#cd853f,peru,Peru,,Shades,Mix
Pink,#FFC0CB,#ffc0cb,pink,Pink,,Shades,Mix
Plum,#DDA0DD,#dda0dd,plum,Plum,,Shades,Mix
PowderBlue,#B0E0E6,#b0e0e6,powderblue,Powder Blue,,Shades,Mix
Purple,#800080,#800080,purple,Purple,,Shades,Mix
Red,#FF0000,#ff0000,red,Red,,Shades,Mix
RosyBrown,#BC8F8F,#bc8f8f,rosybrown,Rosy Brown,,Shades,Mix
RoyalBlue,#4169E1,#4169e1,royalblue,Royal Blue,,Shades,Mix
SaddleBrown,#8B4513,#8b4513,saddlebrown,Saddle Brown,,Shades,Mix
Salmon,#FA8072,#fa8072,salmon,Salmon,,Shades,Mix
SandyBrown,#F4A460,#f4a460,sandybrown,Sandy Brown,,Shades,Mix
SeaGreen,#2E8B57,#2e8b57,seagreen,Sea Green,,Shades,Mix
SeaShell,#FFF5EE,#fff5ee,seashell,Sea Shell,,Shades,Mix
Sienna,#A0522D,#a0522d,sienna,Sienna,,Shades,Mix
Silver,#C0C0C0,#c0c0c0,silver,Silver,,Shades,Mix
SkyBlue,#87CEEB,#87ceeb,skyblue,Sky Blue,,Shades,Mix
SlateBlue,#6A5ACD,#6a5acd,slateblue,Slate Blue,,Shades,Mix
SlateGray,#708090,#708090,slategray,Slate Gray,,Shades,Mix
SlateGrey,#708090,#708090,slategrey,Slate Grey,,Shades,Mix
Snow,#FFFAFA,#fffafa,snow,Snow,,Shades,Mix
SpringGreen,#00FF7F,#00ff7f,springgreen,Spring Green,,Shades,Mix
SteelBlue,#4682B4,#4682b4,steelblue,Steel Blue,,Shades,Mix
Tan,#D2B48C,#d2b48c,tan,Tan,,Shades,Mix
Teal,#008080,#008080,teal,Teal,,Shades,Mix
Thistle,#D8BFD8,#d8bfd8,thistle,Thistle,,Shades,Mix
Tomato,#FF6347,#ff6347,tomato,Tomato,,Shades,Mix
Turquoise,#40E0D0,#40e0d0,turquoise,Turquoise,,Shades,Mix
Violet,#EE82EE,#ee82ee,violet,Violet,,Shades,Mix
Wheat,#F5DEB3,#f5deb3,wheat,Wheat,,Shades,Mix
White,#FFFFFF,#ffffff,white,White,,Shades,Mix
WhiteSmoke,#F5F5F5,#f5f5f5,whitesmoke,White Smoke,,Shades,Mix
Yellow,#FFFF00,#ffff00,yellow,Yellow,,Shades,Mix
YellowGreen,#9ACD32,#9acd32,yellowgreen,Yellow Green,,Shades,Mix
