Province	City	District	Area Code	CIty Code
Papua	Kab. Talikora	Kanggime	DJJ21702	DJJ
Jawa Tengah	Kab. Kendal	Kangkung	SRG20817	SRG
Jawa Timur	Kota Probolinggo	Kanigaran	PBL10030	PBL
Jawa Timur	Kab. Blitar	Kanigoro	MXG20107	MXG
Jawa Tengah	Kab. Bojonegoro	Kanor	SRG20406	SRG
Maluku Utara	Kab. Halmahera Utara	Kao	TTE20603	TTE
Sulawesi Selatan	Kab. Tana Toraja Utara	Kapala Pitu	UPG20632	UPG
Jawa Tengah	Kab. Bojonegoro	Kapas	SRG20407	SRG
Jawa Barat	Kab. Cirebon	Kapetakan	CBN20416	CBN
Papua	Kab. Deiyai	Kapiraya	NBX30602	NBX
Jawa Timur	Kab Situbondo	Kapongan	PBL20209	PBL
Sulawesi Tenggara	Kab. Buton & Buton Utara	Kapontori	KDI20605	KDI
Kalimantan Tengah	Kab. Kapuas	Kapuas Barat	PKY20306	PKY
Kalimantan Tengah	Kab. Kapuas	Kapuas Hilir	PKY20317	PKY
Kalimantan Tengah	Kab. Kapuas	Kapuas Hulu	PKY20316	PKY
Kalimantan Tengah	Kab. Kapuas	Kapuas Kuala	PKY20310	PKY
Kalimantan Tengah	Kab. Kapuas	Kapuas Murung	PKY20307	PKY
Kalimantan Tengah	Kab. Kapuas	Kapuas Tengah	PKY20308	PKY
Kalimantan Tengah	Kab. Kapuas	Kapuas Timur	PKY20309	PKY
Sumatera Barat	Kab. Lima Puluh Kota	Kapur Ix	PDG21306	PDG
Aceh	Kab. Aceh Tamiang	Karang Baru	BTJ21302	BTJ
Sumatera Selatan	Kab. Musi Rawas	Karang Dapo	PLM10304	PLM
Kalimantan Selatan	Kab. Banjar	Karang Intan	BDJ20304	BDJ
Sumatera Selatan	Kab. Musi Rawas	Karang Jaya	PLM10305	PLM
Bengkulu	Kab. Bengkulu Utara	Karang Tinggi	BKS20108	BKS
Jawa Barat	Kab. Indramayu	Karangampel	CBN20111	CBN
Jawa Timur	Kab. Trenggalek	Karangan	SUB22006	SUB
Kalimantan Timur	Kab. Kutai Timur	Karangan	BTG20106	BTG
Jawa Tengah	Kab. Klaten	Karanganom	SOC20311	SOC
Jawa Tengah	Kab. Karang Anyar	Karanganyar	SOC20200	SOC
Jawa Timur	Kab. Ngawi	Karanganyar	MDN20216	MDN
Jawa Tengah	Kab. Kebumen	Karanganyar	MGL10105	MGL
Jawa Tengah	Kab. Demak	Karanganyar	SRG20707	SRG
Jawa Tengah	Kab. Purbalingga	Karanganyar	SRG21707	SRG
Jawa Tengah	Kab. Pekalongan	Karanganyar	SRG22205	SRG
Bali	Kab. Karangasem	Karangasem	DPS20108	DPS
Jawa Tengah	Kab. Demak	Karangawen	SRG20706	SRG
Jawa Barat	Kab. Bekasi	Karangbahagia	BKI10117	BKI
Jawa Timur	Kab. Lamongan	Karangbinangun	SUB10207	SUB
Jawa Tengah	Kab. Pekalongan	Karangdadap	SRG22206	SRG
Jawa Tengah	Kab. Klaten	Karangdowo	SOC20312	SOC
Jawa Tengah	Kab. Kebumen	Karanggayam	MGL10106	MGL
Jawa Tengah	Kab. Boyolali	Karanggede	SOC20106	SOC
Jawa Timur	Kab. Lamongan	Karanggeneng	SUB10208	SUB
Jawa Tengah	Kab. Purbalingga	Karangjambu	SRG21715	SRG
Jawa Timur	Kab. Ngawi	Karangjati	MDN20204	MDN
Jawa Barat	Kab. Tasikmalaya	Karangjaya	BDO20633	BDO
Jawa Barat	Kab. Kuningan	Karangkancana	CBN20220	CBN
Jawa Tengah	Kab. Banjarnegara	Karangkobar	SRG21805	SRG
Jawa Tengah	Kab. Banyumas	Karanglewas	SRG10408	SRG
Jawa Tengah	Kab. Sragen	Karangmalang	SOC20420	SOC
D.I. Yogyakarta	Kab. Gunung Kidul	Karangmojo	JOG20501	JOG
Jawa Tengah	Kab. Purbalingga	Karangmoncol	SRG21708	SRG
Jawa Tengah	Kab. Klaten	Karangnongko	SOC20310	SOC
Jawa Barat	Kab. Tasikmalaya	Karangnunggal	BDO20622	BDO
Jawa Tengah	Kab. Karang Anyar	Karangpandan	SOC20206	SOC
Jawa Barat	Kab. Garut	Karangpawitan	BDO20716	BDO
Jawa Timur	Kota Surabaya	Karangpilang	SUB10011	SUB
Jawa Timur	Kab. Malang	Karangploso	MXG20311	MXG
Jawa Tengah	Kab. Cilacap	Karangpucung	CXP10008	CXP
Jawa Tengah	Kab. Grobogan	Karangrayung	SRG21107	SRG
Jawa Tengah	Kab. Purbalingga	Karangreja	SRG21709	SRG
Jawa Timur	Kab. Magetan	Karangrejo	MDN20102	MDN
Jawa Timur	Kab. Tulungagung	Karangrejo	SUB21006	SUB
Jawa Tengah	Kab. Kebumen	Karangsambung	MGL10122	MGL
Jawa Barat	Kab. Cirebon	Karangsembung	CBN20417	CBN
Banten	Kab. Pandeglang	Karangtanjung	CLG20131	CLG
Banten	Kota Tangerang	Karangtengah	TGR10051	TGR
Jawa Tengah	Kab. Demak	Karangtengah	SRG20705	SRG
Jawa Barat	Kab. Cianjur	Karangtengah	SMI20112	SMI
Jawa Barat	Kab. Garut	Karangtengah	BDO20735	BDO
Jawa Tengah	Kab. Wonogiri	Karangtengah	SOC20612	SOC
Jawa Barat	Kab. Cirebon	Karangwareng	CBN20418	CBN
Jawa Timur	Kab. Magetan	Karas	MDN20114	MDN
Kalimantan Selatan	Kab. Barito Selatan	Karau Kuala	BDJ21105	BDJ
Banten	Kota Tangerang	Karawaci	TGR10052	TGR
Jawa Barat	Kab. Karawang	Karawang	KRW10000	KRW
Jawa Barat	Kab. Karawang	Karawang Barat	KRW10023	KRW
Jawa Barat	Kab. Karawang	Karawang Timur	KRW10024	KRW
Jawa Timur	Kab. Madiun	Kare	MDN10107	MDN
Nusa Tenggara Timur	Kab. Sumba Timur	Karera	KOE21008	KOE
Papua	Kab. Jayapura	Kareuh	DJJ10006	DJJ
Kepulauan Riau	Kab. Karimun	Karimun	BTH10402	BTH
Jawa Tengah	Kab. Jepara	Karimunjawa	SRG10104	SRG
Sulawesi Barat	Kab. Mamuju	Karossa	UPG20707	UPG
Jawa Tengah	Kab. Sukoharjo	Kartasura	SOC20512	SOC
Jawa Timur	Kota Madiun	Kartoharjo	MDN10016	MDN
Jawa Timur	Kab. Magetan	Kartoharjo	MDN20115	MDN
Papua	Kab. Talikora	Karubaga	DJJ21700	DJJ
Lampung	Kab. Lampung Barat	Karya Penggawa	TKG20409	TKG
Jawa Timur	Kab. Malang	Kasembon	MXG20330	MXG
Banten	Kota Serang	Kasemen	CLG20312	CLG
D.I. Yogyakarta	Kab. Bantul	Kasihan	JOG20115	JOG
Jawa Tengah	Kab. Bojonegoro	Kasiman	SRG20408	SRG
Sulawesi Tengah	Kab. Parigi Moutong	Kasimbar	PLW20903	PLW
Kalimantan Tengah	Kab. Katingan	Kasongan	PKY20200	PKY
Lampung	Kab. Way Kanan	Kasui	TKG21103	TKG
Jawa Barat	Kab. Bandung	Katapang	BDO10118	BDO
Riau	Kab. Indragiri Hilir	Kateman	PKU20404	PKU
Lampung	Kab. Lampung Selatan	Katibung	TKG20107	TKG
Nusa Tenggara Timur	Kab. Sumba Tengah	Katikutana	KOE10104	KOE
Kalimantan Tengah	Kab. Katingan	Katingan Hilir	PKY20213	PKY
Kalimantan Tengah	Kab. Katingan	Katingan Hulu	PKY20202	PKY
Kalimantan Tengah	Kab. Katingan	Katingan Kuala	PKY20203	PKY
Kalimantan Tengah	Kab. Katingan	Katingan Tengah	PKY20204	PKY
Sulawesi Tenggara	Kab. Muna	Katobu	KDI20319	KDI
Kalimantan Timur	Kab. Kutai Timur	Kaubun	BTG20107	BTG
Sulawesi Utara	Kab. Minahasa Utara	Kauditan	MDC20803	MDC
Jawa Timur	Kab. Ponorogo	Kauman	MDN20407	MDN
Jawa Timur	Kab. Tulungagung	Kauman	SUB21018	SUB
Bengkulu	Kab. Kaur	Kaur	BKS21100	BKS
Bengkulu	Kab. Kaur	Kaur Selatan	BKS21101	BKS
Bengkulu	Kab. Kaur	Kaur Tengah	BKS21102	BKS
Bengkulu	Kab. Kaur	Kaur Utara	BKS21103	BKS
Jawa Barat	Kab. Ciamis	Kawali	BDO20506	BDO
Jawa Barat	Kota Tasikmalaya	Kawalu	BDO20321	BDO
Sulawesi Utara	Kab. Minahasa	Kawangkoan	MDC20304	MDC
Jawa Timur	Kab. Magetan	Kawedanan	MDN20104	MDN
Jawa Tengah	Kab. Cilacap	Kawunganten	CXP10009	CXP
Kalimantan Timur	Kab. Malinau	Kayan Hilir	TRK20203	TRK
Kalimantan Barat	Kab. Sintang	Kayan Hilir	PNK10406	PNK
Kalimantan Timur	Kab. Malinau	Kayan Hulu	TRK20202	TRK
Kalimantan Barat	Kab. Sintang	Kayan Hulu	PNK10405	PNK
