Province	City	District	Area Code	CIty Code
Jawa Timur	Kab. Nganjuk	Loceret	SUB20404	SUB
Riau	Kab. Kuantan Sengingi	Logas Tanah Darat	PKU20909	PKU
Jawa Barat	Kab. Indramayu	Lohbener	CBN20116	CBN
Sulawesi Tenggara	Kab. Muna	Lohia	KDI20308	KDI
Kalimantan Selatan	Kab. Tampin	Lokpaikat	BDJ20507	BDJ
Kalimantan Selatan	Kab. Hulu Sungai Selatan	Loksado	BDJ10205	BDJ
Sulawesi Utara	Kab. Bolaang Mongondow	Lolak	MDC20109	MDC
Sulawesi Utara	Kab. Bolaang Mongondow	Lolayan	MDC20108	MDC
Sumatera Utara	Kab. Nias Selatan	Lolo Wa'u	MES21805	MES
Maluku Utara	Kab. Halmahera Barat	Loloda	TTE20203	TTE
Maluku Utara	Kab. Halmahera Utara	Loloda Utara	TTE20604	TTE
Sumatera Utara	Kab. Nias	Lolofitu Moi	MES20326	MES
Sumatera Utara	Kab. Nias Selatan	Lolomatua	MES21806	MES
Nusa Tenggara Timur	Kab. Manggarai Timur	Lomba	KOE21304	KOE
Kalimantan Timur	Kab. Kutai Barat	Long Apari	SMD20206	SMD
Kalimantan Timur	Kab. Kutai Barat	Long Bagun	SMD20209	SMD
Kalimantan Timur	Kab. Kutai Barat	Long Hubung	SMD20215	SMD
Kalimantan Timur	Kab. Paser	Long Ikis	BPN20104	BPN
Kalimantan Timur	Kab. Kutai Barat	Long Iram	SMD20207	SMD
Kalimantan Timur	Kab. Paser	Long Kali	BPN20103	BPN
Kalimantan Timur	Kab. Kutai Timur	Long Masengat	BTG20109	BTG
Kalimantan Timur	Kab. Kutai Barat	Long Pahangai	SMD20208	SMD
Aceh	Kota Subulussalam	Longkip	BTJ22205	BTJ
Sulawesi Tengah	Kab. Poso	Lore Selatan	PLW20209	PLW
Sulawesi Tengah	Kab. Poso	Lore Tengah	PLW20221	PLW
Sulawesi Tengah	Kab. Poso	Lore Utara	PLW20208	PLW
Jawa Barat	Kab. Indramayu	Losarang	CBN20117	CBN
Jawa Tengah	Kab. Brebes	Losari	SRG20509	SRG
Jawa Barat	Kab. Cirebon	Losari	CBN20422	CBN
Sumatera Utara	Kab. Nias	Lotu	MES20311	MES
Jawa Timur	Kota Malang	Lowokwaru	MXG10038	MXG
Sumatera Selatan	Kab. Muara Enim	Lubai	PLM20510	PLM
Sumatera Barat	Kab. Padang Pariaman	Lubuk Alung	PDG20606	PDG
Kepulauan Riau	Kota Batam	Lubuk Baja	BTH10084	BTH
Sumatera Utara	Kab. Padang Lawas	Lubuk Barumun	MES21906	MES
Sumatera Utara	Kab. Tapanuli Selatan	Lubuk Barumun	MES22414	MES
Sumatera Barat	Kab. Agam	Lubuk Basung	PDG22200	PDG
Sumatera Selatan	Kab. Ogan Komering Ulu	Lubuk Batang	PLM20116	PLM
Sumatera Barat	Kota Padang	Lubuk Begalung	PDG10011	PDG
Riau	Kab. Siak	Lubuk Dalam	PKU21207	PKU
Sumatera Barat	Kota Padang	Lubuk Kilangan	PDG10012	PDG
Sumatera Selatan	Kota Lubuk Linggau	Lubuk Linggau	PLM21600	PLM
Sumatera Utara	Kab. Deli Serdang	Lubuk Pakam	MES10600	MES
Bengkulu	Kab. Muko-Muko	Lubuk Pinang	BKS21401	BKS
Bengkulu	Kab. Seluma	Lubuk Sandi	BKS23003	BKS
Sumatera Barat	Kab. Pasaman	Lubuk Sikaping	PDG20300	PDG
Sumatera Barat	Kota Solok	Lubuk Sikarah	PDG20939	PDG
Sumatera Barat	Kab. Sijunjung	Lubuk Tarok	PDG21906	PDG
Sumatera Selatan	Kota Lubuk Linggau	Lubuklinggau Barat I	PLM21601	PLM
Sumatera Selatan	Kota Lubuk Linggau	Lubuklinggau Barat Ii	PLM21602	PLM
Sumatera Selatan	Kota Lubuk Linggau	Lubuklinggau Selatan I	PLM21603	PLM
Sumatera Selatan	Kota Lubuk Linggau	Lubuklinggau Selatan Ii	PLM21604	PLM
Sumatera Selatan	Kota Lubuk Linggau	Lubuklinggau Timur I	PLM21605	PLM
Sumatera Selatan	Kota Lubuk Linggau	Lubuklinggau Timur Ii	PLM21606	PLM
Sumatera Selatan	Kota Lubuk Linggau	Lubuklinggau Utara I	PLM21607	PLM
Sumatera Selatan	Kota Lubuk Linggau	Lubuklinggau Utara Ii	PLM21608	PLM
Aceh	Kota Banda Aceh	Lueng Bata	BTJ10019	BTJ
Sumatera Barat	Kab. Lima Puluh Kota	Luhak	PDG21315	PDG
Sumatera Barat	Kab. Pasaman Barat	Luhak Nan Duo	PDG21504	PDG
Jawa Timur	Kab. Lumajang	Lumajang	PBL20100	PBL
Sumatera Utara	Kab. Toba Samosir	Lumban Julu	MES20104	MES
Jawa Timur	Kab. Probolinggo	Lumbang	PBL10012	PBL
Jawa Timur	Kab. Pasuruan	Lumbang	PDN10009	PDN
Jawa Tengah	Kab. Banyumas	Lumbir	SRG10413	SRG
Kalimantan Timur	Kab. Nunukan	Lumbis	TRK20302	TRK
Jawa Barat	Kab. Ciamis	Lumbung	BDO20531	BDO
Sumatera Utara	Kab. Tapanuli Tengah	Lumut	MES10207	MES
Sumatera Barat	Kab. Pesisir Selatan	Lunang Silaut	PDG20516	PDG
Nusa Tenggara Barat	Kab. Sumbawa	Lunyuk	AMI20506	AMI
Jawa Barat	Kab. Kuningan	Luragung	CBN20224	CBN
Maluku	Kab. Maluku Tenggara Barat	Luser	AMQ20803	AMQ
Sulawesi Tengah	Kab. Banggai	Luwuk	PLW20100	PLW
Sulawesi Barat	Kab. Polewali Mandar	Luyo	UPG21214	UPG
Maluku Utara	Kab. Halmahera Timur	Maba	TTE20500	TTE
Maluku Utara	Kab. Halmahera Timur	Maba Selatan	TTE20501	TTE
Nusa Tenggara Timur	Kab. Manggarai Barat	Macang Pacar	KOE21204	KOE
Nusa Tenggara Barat	Kab. Bima	Mada Pangga	AMI21107	AMI
Sumatera Selatan	Kab. Ogan Komering Ulu Timur	Madang Suku I	PLM21407	PLM
Sumatera Selatan	Kab. Ogan Komering Ulu Timur	Madang Suku Ii	PLM21408	PLM
Sumatera Selatan	Kab. Ogan Komering Ulu Timur	Madang Suku Iii	PLM21411	PLM
Aceh	Kab. Aceh Timur	Madat	BTJ21408	BTJ
Jawa Timur	Kota Madiun	Madiun	MDN10000	MDN
Jawa Timur	Kab. Madiun	Madiun	MDN10109	MDN
Jawa Tengah	Kab. Banjarnegara	Madukara	SRG21806	SRG
Jawa Timur	Kab. Lamongan	Maduran	SUB10225	SUB
Jawa Timur	Kab. Bondowoso	Maesan	JBR20205	JBR
Nusa Tenggara Timur	Kab. Ende	Magekoba/Maurole	KOE20820	KOE
Jawa Tengah	Kota Magelang	Magelang	MGL10000	MGL
Jawa Tengah	Kota Magelang	Magelang Selatan	MGL10022	MGL
Jawa Tengah	Kota Magelang	Magelang Tengah	MGL10023	MGL
Jawa Tengah	Kota Magelang	Magelang Utara	MGL10024	MGL
Jawa Timur	Kota Mojokerto	Magersari	MJK10022	MJK
Jawa Timur	Kab. Magetan	Magetan	MDN20100	MDN
Sulawesi Tenggara	Kab. Muna	Maginti	KDI20325	KDI
Sulawesi Selatan	Kab. Enrekang	Maiwa	UPG20404	UPG
Sulawesi Selatan	Kab. Enrekang	Maiwa Atas	UPG20408	UPG
Banten	Kab. Lebak	Maja	CLG20213	CLG
Jawa Barat	Kab. Majalengka	Maja	CBN20312	CBN
Jawa Barat	Kab. Bandung	Majalaya	BDO10119	BDO
Jawa Barat	Kab. Karawang	Majalaya	KRW10027	KRW
Jawa Barat	Kab. Majalengka	Majalengka	CBN20300	CBN
Sulawesi Selatan	Kab. Wajo	Majauleng	UPG21402	UPG
Bengkulu	Kab. Kaur	Maje	BKS21107	BKS
Jawa Tengah	Kab. Cilacap	Majenang	CXP10013	CXP
Sulawesi Barat	Kab. Majene	Majene	UPG20900	UPG
Sulawesi Selatan	Kab. Tana Toraja	Makale	UPG20600	UPG
Sulawesi Selatan	Kab. Tana Toraja	Makale Selatan	UPG20618	UPG
Sulawesi Selatan	Kab. Tana Toraja	Makale Utara	UPG20619	UPG
Sumatera Selatan	Kab. Banyuasin	Makarti Jaya	PLM21006	PLM
Dki Jakarta	Kota Administrasi Jakarta Timur	Makassar	CGK10507	CGK
Papua Barat	Kab. Sorong	Makbon	SOQ10006	SOQ
Papua	Kab. Jayawijaya	Maki	DJJ20708	DJJ
Papua	Kab. Nabire	Makimi	NBX30002	NBX
Aceh	Kab. Bireuen	Makmur	BTJ20106	BTJ
Nusa Tenggara Timur	Kab. Belu	Malaka Barat	KOE20106	KOE
Nusa Tenggara Timur	Kab. Belu	Malaka Tengah	KOE20104	KOE
Nusa Tenggara Timur	Kab. Belu	Malaka Timur	KOE20103	KOE
Sulawesi Utara	Kota Manado	Malalayang	MDC10022	MDC
Jawa Timur	Kota Malang	Malang	MXG10000	MXG
Jawa Barat	Kab. Garut	Malangbong	BDO20719	BDO
Sulawesi Selatan	Kab. Luwu Utara	Malangke	UPG23304	UPG
Sulawesi Selatan	Kab. Luwu Utara	Malangke Barat	UPG23305	UPG
Jawa Barat	Kab. Kuningan	Maleber	CBN20225	CBN
Maluku Utara	Kab. Halmahera Utara	Malifut	TTE20605	TTE
Sulawesi Tenggara	Kab. Muna	Maligano	KDI20326	KDI
Kalimantan Tengah	Kab. Pulang Pisau	Maliku	PKY21206	PKY
Sulawesi Selatan	Kab. Luwu Timur	Malili / Soroako	UPG23200	UPG
Sulawesi Selatan	Kab. Tana Toraja	Malimbong Balepe	UPG20622	UPG
Kalimantan Timur	Kab. Malinau	Malinau	TRK20200	TRK
Kalimantan Timur	Kab. Malinau	Malinau Barat	TRK20205	TRK
Kalimantan Timur	Kab. Malinau	Malinau Selatan	TRK20206	TRK
Kalimantan Timur	Kab. Malinau	Malinau Utara	TRK20207	TRK
Banten	Kab. Lebak	Malingping	CLG20214	CLG
Sulawesi Selatan	Kab. Maros	Mallawa	UPG20803	UPG
Sulawesi Selatan	Kab. Barru	Mallusetasi	UPG20201	UPG
Jawa Tengah	Kab. Bojonegoro	Malo	SRG20411	SRG
Sulawesi Barat	Kab. Majene	Malunda	UPG20901	UPG
Sulawesi Selatan	Kota Makassar	Mamajang	UPG10006	UPG
Sulawesi Barat	Kab. Mamasa	Mamasa	UPG23400	UPG
Papua	Kab. Mamberamo Raya	Mamberamo Ilir	DJJ22002	DJJ
Papua	Kab. Mamberamo Raya	Mamberamo Tengah	DJJ22001	DJJ
Papua	Kab. Mamberamo Raya	Mamberamo Tengah Timur	DJJ22004	DJJ
Papua	Kab. Mamberamo Raya	Mamberamo Ulu	DJJ22003	DJJ
Sulawesi Barat	Kab. Mamasa	Mambi	UPG23402	UPG
Nusa Tenggara Timur	Kab. Sumba Tengah	Mamboro	KOE10101	KOE
Sulawesi Tengah	Kab. Morowali	Mamosalato	PLW20808	PLW
Dki Jakarta	Kota Administrasi Jakarta Selatan	Mampang Prapatan	CGK10204	CGK
Sulawesi Barat	Kab. Mamuju	Mamuju	UPG20700	UPG
Sulawesi Utara	Kota Manado	Manado	MDC10000	MDC
Gorontalo	Kab. Boalemo	Mananggu	GTO20203	GTO
Banten	Kab. Serang	Mancak	CLG20515	CLG
Riau	Kab. Indragiri Hilir	Mandah	PKU20407	PKU
Sulawesi Selatan	Kab. Maros	Mandai	UPG20804	UPG
Banten	Kab. Pandeglang	Mandalawangi	CLG20114	CLG
Sulawesi Selatan	Kab. Pangkajene Kepulauan	Mandalle	UPG22110	UPG
Kalimantan Selatan	Kab. Barito Kuala	Mandastana	BDJ20208	BDJ
Riau	Kab. Bengkalis	Mandau	PKU20208	PKU
Kalimantan Barat	Kab. Kapuas Hulu	Manday	PNK20210	PNK
Jawa Barat	Kab. Cianjur	Mande	SMI20113	SMI
Jambi	Kab. Sarolangun	Mandiangin	DJB20703	DJB
Sumatera Barat	Kota Bukit Tinggi	Mandiangin Koto Selayan	PDG20212	PDG
Jawa Timur	Kab. Sumenep	Manding	SUB20815	SUB
Jawa Tengah	Kab. Banjarnegara	Mandiraja	SRG21807	SRG
Jawa Barat	Kab. Kuningan	Mandirancan	CBN20226	CBN
Papua	Kab. Boven Digoel	Mandobo	DJJ20904	DJJ
Sulawesi Tenggara	Kota Kendari	Mandonga	KDI10018	KDI
Kalimantan Barat	Kab. Landak	Mandor	PNK20702	PNK
Sumatera Utara	Kab. Nias	Mandrehe	MES20312	MES
Sumatera Utara	Kab. Tapanuli Tengah	Manduamas	MES10203	MES
Aceh	Kab. Pidie	Mane	BTJ20425	BTJ
Sulawesi Utara	Kab. Kepulauan Sangihe	Manganitu	MDC20206	MDC
Sulawesi Utara	Kab. Kepulauan Sangihe	Manganitu Selatan	MDC20217	MDC
Sulawesi Selatan	Kab. Takalar	Mangara Bombang	UPG21703	UPG
Jawa Timur	Kab Situbondo	Mangaran	PBL20211	PBL
Sulawesi Selatan	Kota Makassar	Manggala	UPG10007	UPG
Kepulauan Bangka Belitung	Kab. Belitung Timur	Manggar	TJQ10100	TJQ
Nusa Tenggara Barat	Kab. Dompu	Manggelewa	AMI20207	AMI
Aceh	Kab. Aceh Barat Daya	Manggeng	BTJ21003	BTJ
Bali	Kab. Karangasem	Manggis	DPS20104	DPS
Jawa Barat	Kota Tasikmalaya	Mangkubumi	BDO20335	BDO
Sulawesi Selatan	Kab. Luwu Timur	Mangkutana	UPG23203	UPG
Maluku Utara	Kab. Kepulauan Sula	Mangoli Barat	TTE20701	TTE
Maluku Utara	Kab. Kepulauan Sula	Mangoli Timur	TTE20702	TTE
Jawa Timur	Kota Madiun	Manguharjo	MDN10017	MDN
Jawa Barat	Kab. Ciamis	Mangunjaya	BDO20532	BDO
Jawa Barat	Kab. Tasikmalaya	Mangunreja	BDO20609	BDO
Sulawesi Selatan	Kab. Wajo	Maniang Pajo	UPG21403	UPG
Jawa Barat	Kab. Purwakarta	Maniis	BDO20810	BDO
Kalimantan Barat	Kab. Ketapang	Manis Mata	PNK10103	PNK
Jawa Tengah	Kab. Klaten	Manisrenggo	SOC20315	SOC
Bengkulu	Kab. Bengkulu Selatan	Manna	BKS20333	BKS
Papua Barat	Kab. Manokwari	Manokwari	SOQ20608	SOQ
Jawa Barat	Kab. Tasikmalaya	Manonjaya	BDO20623	BDO
Kalimantan Tengah	Kab. Kapuas	Mantangai	PKY20311	PKY
Jawa Timur	Kab. Ngawi	Mantingan	MDN20208	MDN
D.I. Yogyakarta	Kota Yogyakarta	Mantrijeron	JOG10009	JOG
Jawa Timur	Kab. Lamongan	Mantup	SUB10212	SUB
Aceh	Kab. Aceh Tamiang	Manyak Payed	BTJ21304	BTJ
Jawa Timur	Kab.Gresik	Manyar	SUB10109	SUB
Jawa Tengah	Kab. Wonogiri	Manyaran	SOC20614	SOC
Jawa Tengah	Kab. Cilacap	Maos	CXP10014	CXP
Jawa Timur	Kab. Magetan	Maospati	MDN20106	MDN
Sulawesi Utara	Kota Manado	Mapanget	MDC10023	MDC
Sumatera Barat	Kab. Pasaman	Mapat Tunggul	PDG20325	PDG
Sumatera Barat	Kab. Pasaman	Mapat Tunggul Selatan	PDG20315	PDG
Papua	Kab. Jayawijaya	Mapenduma	DJJ20719	DJJ
Papua	Kab. Nabire	Mapia	NBX30003	NBX
Sulawesi Barat	Kab. Polewali Mandar	Mapilli	UPG21215	UPG
Sulawesi Selatan	Kab. Tana Toraja	Mappak	UPG20620	UPG
Sulawesi Selatan	Kab. Takalar	Mappakasunggu	UPG21704	UPG
Sulawesi Selatan	Kab. Luwu Utara	Mappedeceng	UPG23306	UPG
Kalimantan Selatan	Kab. Barito Kuala	Marabahan	BDJ20200	BDJ
Sumatera Utara	Kab. Tapanuli Selatan	Marancar	MES22415	MES
Sulawesi Selatan	Kab. Pangkajene Kepulauan	Ma'rang	UPG22107	UPG
Kalimantan Timur	Kab. Kutai Kartanegara	Marang Kayu	SMD20130	SMD
Kalimantan Timur	Kab. Berau	Maratua	BPN20210	BPN
Kalimantan Barat	Kab. Ketapang	Marau	PNK10104	PNK
Sulawesi Tengah	Kab. Donggala	Marawola	PLW20705	PLW
Sumatera Utara	Kab. Labuhan Batu	Marbau	MES20707	MES
Sumatera Utara	Kab. Karo	Mardinding	MES20806	MES
Papua Barat	Kab. Sorong Selatan	Mare	SOQ20409	SOQ
Sulawesi Selatan	Kab. Bone	Mare	UPG21812	UPG
Bali	Kab. Tabanan	Marga	DPS20704	DPS
Jawa Barat	Kab. Bandung	Margaasih	BDO10120	BDO
Jawa Barat	Bandung	Margacinta	BDO10056	BDO
Jawa Tengah	Kota Tegal	Margadana	SRG21508	SRG
Jawa Barat	Kab. Bandung	Margahayu	BDO10121	BDO
Jawa Tengah	Kab. Tegal	Margasari	SRG21408	SRG
Lampung	Kab. Lampung Timur	Margatiga	TKG21015	TKG
Jawa Tengah	Kab. Bojonegoro	Margomulyo	SRG20412	SRG
Jawa Tengah	Kab. Pati	Margorejo	SRG20911	SRG
Jawa Tengah	Kab. Pati	Margoyoso	SRG20912	SRG
Kalimantan Tengah	Kab. Katingan	Marikit	PKY20205	PKY
Sulawesi Selatan	Kab. Soppeng	Mario Riawa	UPG21905	UPG
Sulawesi Selatan	Kab. Soppeng	Mario Riwawo	UPG21904	UPG
Gorontalo	Kab. Pahuwalo	Marisa	GTO20500	GTO
Sulawesi Selatan	Kota Makassar	Mariso	UPG10008	UPG
Sulawesi Selatan	Kab. Sindenreng Rappang	Maritengngae	UPG21308	UPG
Jambi	Kab. Muaro Jambi	Maro Sebo	DJB20604	DJB
Jambi	Kab. Batang Hari	Maro Sebo Ilir	DJB20207	DJB
Jambi	Kab. Batang Hari	Maro Sebo Ulu	DJB20202	DJB
Jawa Timur	Kab. Probolinggo	Maron	PBL10013	PBL
Sulawesi Selatan	Kab. Maros	Maros	UPG20800	UPG
Sulawesi Selatan	Kab. Maros	Maros Baru	UPG20809	UPG
Sulawesi Selatan	Kab. Maros	Maros Utara	UPG20805	UPG
Riau	Kota Pekanbaru	Marpoyan Damai	PKU10011	PKU
Sumatera Selatan	Kab. Ogan Komering Ulu Timur	Martapura	PLM21400	PLM
Kalimantan Selatan	Kab. Banjar	Martapura	BDJ20300	BDJ
Sulawesi Selatan	Kab. Maros	Marusu	UPG20810	UPG
Nusa Tenggara Barat	Kab. Lombok Timur	Mas Bagik	AMI20403	AMI
Jawa Timur	Kab. Sumenep	Masalembu	SUB20816	SUB
Sulawesi Selatan	Kab. Luwu Utara	Masamba	UPG23300	UPG
Sulawesi Selatan	Kab. Tana Toraja	Masanda	UPG20621	UPG
Jawa Tengah	Kab. Sragen	Masaran	SOC20408	SOC
Papua	Kab. Waropen	Masirei	DJJ21801	DJJ
Papua Barat	Kab. Manokwari	Masni	SOQ20615	SOQ
Sulawesi Barat	Kab. Polewali Mandar	Matakali	UPG21216	UPG
Kalimantan Barat	Kab. Ketapang	Matan Hilir Selatan	PNK10118	PNK
Kalimantan Barat	Kab. Ketapang	Matan Hilir Utara	PNK10119	PNK
Aceh	Kab. Aceh Utara	Matang Kuli	BTJ21507	BTJ
Sulawesi Barat	Kab. Polewali Mandar	Matangnga	UPG21217	UPG
Nusa Tenggara Barat	Kota Mataram	Mataram	AMI10000	AMI
Lampung	Kab. Lampung Timur	Mataram Baru	TKG21016	TKG
Kalimantan Selatan	Kab. Banjar	Mataraman	BDJ20311	BDJ
Nusa Tenggara Timur	Kab. Sumba Timur	Matawai Lapau	KOE21010	KOE
Jawa Tengah	Kab. Karang Anyar	Matesih	SOC20209	SOC
Dki Jakarta	Kota Administrasi Jakarta Timur	Matraman	CGK10508	CGK
Sulawesi Selatan	Kab. Pinrang	Mattiro Bulu	UPG21104	UPG
Sulawesi Selatan	Kab. Pinrang	Mattirosompe	UPG21105	UPG
Sumatera Barat	Kab. Agam	Matur	PDG22210	PDG
Banten	Kab. Tangerang	Mauk	TGR10108	TGR
Nusa Tenggara Timur	Kab. Ende	Maukaro	KOE20814	KOE
Nusa Tenggara Timur	Kab. Sikka	Maumere	KOE20500	KOE
Nusa Tenggara Timur	Kab. Nagekeo	Mauponggo	KOE21404	KOE
Sulawesi Tenggara	Kab. Buton & Buton Utara	Mawasangka	KDI20609	KDI
Sulawesi Tenggara	Kab. Buton & Buton Utara	Mawasangka Timur	KDI20610	KDI
Nusa Tenggara Timur	Kota Kupang	Mawlapa	KOE10031	KOE
Jawa Timur	Kab. Jember	Mayang	JBR10011	JBR
Jawa Timur	Kota Probolinggo	Mayangan	PBL10026	PBL
Jawa Tengah	Kab. Jepara	Mayong	SRG10107	SRG
Nusa Tenggara Timur	Kab. Nagekeo	Mbay	KOE21400	KOE
Nusa Tenggara Timur	Kab. Manggarai	Mborong	KOE20617	KOE
Sumatera Utara	Kota Medan	Medan	MES10000	MES
Sumatera Utara	Kota Medan	Medan Amplas	MES10017	MES
Sumatera Utara	Kota Medan	Medan Area	MES10018	MES
Sumatera Utara	Kota Medan	Medan Barat	MES10019	MES
Sumatera Utara	Kota Medan	Medan Baru	MES10020	MES
Sumatera Utara	Kota Medan	Medan Belawan	MES10045	MES
Sumatera Utara	Kota Medan	Medan Deli	MES10021	MES
Sumatera Utara	Kota Medan	Medan Denai	MES10022	MES
Sumatera Utara	Kota Medan	Medan Helvetia	MES10023	MES
Sumatera Utara	Kota Medan	Medan Johor	MES10024	MES
Sumatera Utara	Kota Medan	Medan Kota	MES10025	MES
Sumatera Utara	Kota Medan	Medan Labuhan	MES10026	MES
Sumatera Utara	Kota Medan	Medan Maimun	MES10027	MES
Sumatera Utara	Kota Medan	Medan Marelan	MES10028	MES
Sumatera Utara	Kota Medan	Medan Perjuangan	MES10029	MES
Sumatera Utara	Kota Medan	Medan Petisah	MES10030	MES
Sumatera Utara	Kota Medan	Medan Polonia	MES10031	MES
Jawa Barat	Kota Bekasi	Medan Satria	BKI10045	BKI
Sumatera Utara	Kota Medan	Medan Selayang	MES10032	MES
Sumatera Utara	Kota Medan	Medan Sunggal	MES10046	MES
Sumatera Utara	Kota Medan	Medan Tembung	MES10033	MES
Sumatera Utara	Kota Medan	Medan Timur	MES10034	MES
Sumatera Utara	Kota Medan	Medan Tuntungan	MES10035	MES
Sumatera Utara	Kab. Batubara	Medang Deras	MES21501	MES
Riau	Kota Dumai	Medang Kampai	PKU10110	PKU
Jawa Timur	Kab. Jombang	Megaluh	SUB20209	SUB
Jawa Barat	Kab. Bogor	Megamendung	BOO20136	BOO
Sumatera Selatan	Kab. Musi Rawas	Megang Sakti	PLM10306	PLM
Nusa Tenggara Timur	Kab. Sikka	Mego	KOE20508	KOE
Jawa Timur	Kab. Madiun	Mejayan	MDN10110	MDN
Jawa Tengah	Kab. Kudus	Mejobo	SRG10203	SRG
Sumatera Selatan	Kab. Ogan Komering Ulu Selatan	Mekakau Ilir	PLM21506	PLM
Kalimantan Selatan	Kab. Barito Kuala	Mekar Sari	BDJ20209	BDJ
Jawa Barat	Kab. Garut	Mekarmukti	BDO20740	BDO
Kalimantan Timur	Kab. Kutai Barat	Melak	SMD20210	SMD
Bali	Kab. Jembrana	Melaya	DPS20401	DPS
Kalimantan Barat	Kab. Sanggau	Meliau	PNK10208	PNK
Lampung	Kab. Lampung Timur	Melinting	TKG21017	TKG
Sulawesi Utara	Kab. Kepulauan Talaud	Melonguane	MDC20700	MDC
Kepulauan Bangka Belitung	Kab. Belitung	Membalong	TJQ10005	TJQ
Kalimantan Barat	Kab. Pontianak	Mempawah	PNK20900	PNK
Kalimantan Barat	Kab. Landak	Mempawah Hulu	PNK20703	PNK
Jambi	Kab. Tanjung Jabung Timur	Mendahara	DJB20802	DJB
Kalimantan Tengah	Kab. Katingan	Mendawai	PKY20212	PKY
Kepulauan Bangka Belitung	Kab. Bangka	Mendo Barat	PGK10205	PGK
Bali	Kab. Jembrana	Mendoyo	DPS20402	DPS
Banten	Kab. Pandeglang	Menes	CLG20115	CLG
Jawa Timur	Kab.Gresik	Menganti	SUB10110	SUB
Lampung	Kab. Tulang Bawang	Menggala	TKG21200	TKG
Sulawesi Selatan	Kab. Tana Toraja	Mengkendek	UPG20602	UPG
Bali	Kab. Badung	Menguwi	DPS21100	DPS
Kalimantan Barat	Kab. Landak	Menjalin	PNK20704	PNK
Papua	Kab. Nabire	Menou	NBX30004	NBX
Kalimantan Timur	Kab. Malinau	Mentarang	TRK20201	TRK
Kalimantan Tengah	Kab. Kotawaringin Timur	Mentawa Baru	PKY20810	PKY
Kalimantan Tengah	Kab. Kotawaringin Timur	Mentaya Hilir Selatan	PKY20803	PKY
Kalimantan Tengah	Kab. Kotawaringin Timur	Mentaya Hilir Utara	PKY20805	PKY
Kalimantan Tengah	Kab. Kotawaringin Timur	Mentaya Hulu	PKY20804	PKY
Kalimantan Barat	Kab. Kapuas Hulu	Mentebah	PNK20222	PNK
Dki Jakarta	Kota Administrasi Jakarta Pusat	Menteng	CGK10305	CGK
Kepulauan Bangka Belitung	Kab. Bangka Barat	Mentok	PGK10301	PGK
Sulawesi Tengah	Kab. Morowali	Menui Kepulauan	PLW20809	PLW
Kalimantan Barat	Kab. Melawi	Menukung	PNK20804	PNK
Kalimantan Barat	Kab. Landak	Menyuke	PNK20705	PNK
Banten	Kota Cilegon	Merak	CLG10004	CLG
Jawa Timur	Kab. Tuban	Merakurak	SUB20907	SUB
Kepulauan Riau	Kab. Karimun	Meral	BTH10406	BTH
Sumatera Utara	Kab. Asahan	Meranti	MES10110	MES
Kalimantan Barat	Kab. Landak	Meranti	PNK20708	PNK
Riau	Kab. Meranti	Meranti	PKU21300	PKU
Sumatera Selatan	Kab. Lahat	Merapi	PLM20303	PLM
Papua	Kab. Merauke	Merauke	DJJ20400	DJJ
Kepulauan Bangka Belitung	Kab. Bangka	Merawang	PGK10206	PGK
Riau	Kab. Meranti	Merbau	PKU21302	PKU
Lampung	Kab. Lampung Selatan	Merbau Mataram	TKG20109	TKG
Papua Barat	Kab. Teluk Bintuni	Merdey	SOQ20506	SOQ
Sumatera Utara	Kab. Karo	Merek	MES20807	MES
D.I. Yogyakarta	Kota Yogyakarta	Mergangsan	JOG10010	JOG
Jambi	Kab. Tanjung Jabung Barat	Merlung	DJB10104	DJB
Jambi	Kab. Batang Hari	Mersam	DJB20203	DJB
Jawa Tengah	Kab. Magelang	Mertoyudan	MGL10507	MGL
Aceh	Kab. Aceh Besar	Mesjid Raya	BTJ10308	BTJ
Sulawesi Barat	Kab. Mamasa	Messawa	UPG23403	UPG
Jambi	Kab. Muaro Jambi	Mestong	DJB20605	DJB
Sumatera Selatan	Kab. Ogan Komering Ilir	Mesuji	PLM20202	PLM
Lampung	Kab. Tulang Bawang	Mesuji	TKG21201	TKG
Lampung	Kota Metro	Metro	TKG20300	TKG
Lampung	Kota Metro	Metro Barat	TKG20355	TKG
Lampung	Kab. Lampung Timur	Metro Kibang	TKG21018	TKG
Lampung	Kota Metro	Metro Pusat	TKG20356	TKG
Lampung	Kota Metro	Metro Selatan	TKG20357	TKG
Lampung	Kota Metro	Metro Timur	TKG20358	TKG
Lampung	Kota Metro	Metro Utara	TKG20359	TKG
Aceh	Kab. Aceh Selatan	Meukek	BTJ20608	BTJ
Aceh	Kab. Aceh Barat	Meulaboh	BTJ20300	BTJ
Aceh	Kab. Pidie Jaya	Meurah Dua	BTJ21904	BTJ
Aceh	Kab. Aceh Utara	Meurah Mulia	BTJ21508	BTJ
Aceh	Kota Banda Aceh	Meuraksa	BTJ10015	BTJ
Aceh	Kab. Pidie Jaya	Meureudu	BTJ21900	BTJ
Kepulauan Riau	Kab. Natuna	Midai	BTH10308	BTH
Jawa Tengah	Kota Semarang	Mijen	SRG10007	SRG
Jawa Tengah	Kab. Demak	Mijen	SRG20708	SRG
Aceh	Kab. Pidie	Mila	BTJ20410	BTJ
